iter	RMSE
0	13.90026555
1	13.05741238
2	12.26136865
3	11.51638728
4	10.8489044
5	10.26531444
6	9.790054944
7	9.36076738
8	8.944269461
9	8.536313028
10	8.228635457
11	7.920572888
12	7.636755737
13	7.431651137
14	7.18631393
15	6.984853284
16	6.808964887
17	6.643261618
18	6.506770037
19	6.370028743
20	6.259092391
21	6.152150125
22	6.061609894
23	5.963006919
24	5.878739275
25	5.78789333
26	5.723267998
27	5.668347705
28	5.60925303
29	5.563463232
30	5.513745167
31	5.467056843
32	5.426222943
33	5.390278509
34	5.360002205
35	5.333643462
36	5.313939794
37	5.282441374
38	5.25621201
39	5.235081836
40	5.217621531
41	5.188961511
42	5.165752546
43	5.144458478
44	5.131379202
45	5.116532127
46	5.085139069
47	5.07033077
48	5.056390759
49	5.032154058
50	5.019718766
51	5.000336235
52	4.994292885
53	4.992560385
54	4.980813217
55	4.964685632
56	4.957057978
57	4.937534831
58	4.928119449
59	4.919838689
60	4.899502355
61	4.892936319
62	4.881849751
63	4.876922337
64	4.865963102
65	4.861517805
66	4.852378913
67	4.840613211
68	4.833274446
69	4.824690128
70	4.814048173
71	4.806219805
72	4.798692272
73	4.786510583
74	4.773041712
75	4.763830958
76	4.753356507
77	4.748565055
78	4.742549614
79	4.732795758
80	4.714900446
81	4.703520564
82	4.697649787
83	4.683779444
84	4.671058346
85	4.655219771
86	4.641973478
87	4.633713912
88	4.625772373
89	4.618448931
90	4.612229262
91	4.601119532
92	4.587902592
93	4.583229929
94	4.580485915
95	4.578368698
96	4.572353191
97	4.570180549
98	4.560235787
99	4.552971418
