iter	Passed	Remaining
0	0	97
1	2	107
2	2	90
3	3	79
4	4	76
5	4	73
6	5	68
7	5	64
8	6	61
9	6	58
10	6	55
11	7	54
12	7	52
13	8	51
14	8	50
15	9	48
16	9	47
17	10	47
18	11	47
19	13	54
20	14	54
21	14	53
22	15	51
23	15	50
24	17	52
25	18	53
26	19	52
27	19	51
28	20	49
29	20	48
30	21	47
31	22	46
32	22	45
33	23	44
34	23	43
35	23	42
36	24	41
37	24	40
38	25	39
39	26	39
40	26	38
41	27	37
42	27	36
43	28	35
44	28	35
45	29	34
46	30	34
47	31	33
48	31	32
49	32	32
50	32	31
51	33	30
52	33	29
53	33	28
54	34	28
55	34	27
56	35	26
57	36	26
58	36	25
59	37	24
60	37	24
61	38	23
62	38	22
63	38	21
64	39	21
65	40	20
66	41	20
67	41	19
68	44	19
69	44	19
70	45	18
71	46	18
72	47	17
73	47	16
74	48	16
75	48	15
76	49	14
77	50	14
78	50	13
79	51	12
80	51	12
81	53	11
82	53	10
83	54	10
84	54	9
85	55	8
86	55	8
87	56	7
88	56	7
89	57	6
90	58	5
91	58	5
92	59	4
93	60	3
94	60	3
95	61	2
96	61	1
97	62	1
98	63	0
99	63	0
